id,predicted
462059,124 3414 4738
462060,4337 8117 4580
462061,7661 319 7867
462062,3556 88 2017
462063,6154 283 3712
462064,3069 626 3689
462065,2458 2959 5918
462066,4830 6419 4567
462067,2008 3141 5197
462068,1420 5275 6236
462069,2058 6938 4168
462070,1399 5025 5758
462071,2528 247 1061
462072,210 2874 5643
462073,7948 580 7395
462074,5859 4265 4228
462075,4745 3438 2941
462076,4927 1322 6194
462077,274 8099 7694
462078,3254 7685 895
462079,4240 7272 277
462080,4453 2071 1167
462081,3742 4701 3597
462082,4922 6899 4629
462083,7485 6535 3053
462084,5597 4213 7581
462085,3498 5149 6897
462086,4487 3497 7227
462087,3070 5625 2104
462088,7660 6750 5779
462089,2616 5007 687
462090,5444 7105 1472
462091,4077 3640 5961
462092,7363 3111 5678
462093,3154 795 6619
462094,5973 7373 527
462095,299 667 8069
462096,4690 1189 4911
462097,348 6056 5209
462098,6181 6005 6231
462099,4109 5009 4344
462100,6092 5381 4398
462101,3427 7673 1187
462102,4544 7204 7360
462103,7516 1191 5186
462104,3335 3436 5180
462105,6636 1111 5698
462106,1548 3279 7822
462107,6889 3857 8071
462108,6171 5038 6924
462109,6251 951 1630
462110,2924 5492 38
462111,7606 6091 3373
462112,3789 3067 2716
462113,4867 242 1429
462114,7945 5555 7057
462115,4319 6822 1025
462116,4583 66 4304
462117,5213 5151 4816
462118,3678 1368 3789
462119,3555 1953 1893
462120,2579 7055 2263
462121,4434 2387 1090
462122,3590 24 6897
462123,5976 8027 4056
462124,1106 3422 752
462125,3636 3504 6922
462126,1621 6079 6193
462127,7738 68 2187
462128,7985 1389 2065
462129,612 6152 5516
462130,603 7060 5765
462131,1385 7759 7481
462132,3258 6049 5754
462133,3874 1353 4511
462134,580 3929 6638
462135,2506 7065 736
462136,3030 4228 2878
462137,7228 5998 4616
462138,3291 3731 2132
462139,6667 3164 2812
462140,3294 4532 7909
462141,6532 5248 7501
462142,7156 2972 3068
462143,7968 5209 4283
462144,300 4617 7822
462145,2002 223 2784
462146,5969 7620 3513
462147,7780 1773 521
462148,4627 3873 1128
462149,3858 3032 1111
462150,7001 6693 5764
462151,2300 6331 7261
462152,1801 766 5544
462153,8118 202 2743
462154,1020 4781 6387
462155,3296 7900 7215
462156,3699 8122 5571
462157,5519 3874 5846
462158,6699 5288 6175
462159,6492 4819 5033
462160,3752 7776 1281
462161,6879 7077 7420
462162,2743 67 1928
462163,5019 7044 5939
462164,4126 2861 7055
462165,7709 6651 5694
462166,2395 7935 5386
462167,2373 772 4250
462168,415 1446 6955
462169,2658 6621 3243
462170,62 1316 121
462171,3556 1613 7801
462172,1967 2838 1616
462173,17 691 7197
462174,905 750 5786
462175,6729 3907 854
462176,1545 1582 226
462177,5677 2988 4850
462178,7942 1197 5635
462179,331 1544 3014
462180,1361 5367 712
462181,7981 3537 809
462182,4757 1433 1054
462183,6883 2862 2405
462184,938 6863 189
462185,5153 569 1686
462186,1362 2515 531
462187,7909 5603 3299
462188,6863 4799 299
462189,6598 1335 5609
462190,6912 3532 1767
462191,6227 4747 6944
462192,6813 4289 7361
462193,2583 5161 7994
462194,4304 2981 1659
462195,6162 2619 940
462196,6006 3969 1061
462197,1047 7986 7907
462198,2364 2382 3820
462199,2425 5942 4623
462200,3574 1546 7924
462201,3324 2116 4146
462202,1636 1447 5950
462203,2879 332 3638
462204,3891 7176 1746
462205,4017 5005 6416
462206,1781 6697 5417
462207,356 3159 480
462208,7050 5101 6739
462209,4173 5687 5450
462210,2745 3941 8088
462211,3193 7292 5058
462212,7549 7136 1954
462213,1835 4018 1527
462214,477 5440 2911
462215,5348 3700 6966
462216,6009 2494 3715
462217,1733 7292 5414
462218,1846 7069 7347
462219,7356 3319 900
462220,4615 5273 2656
462221,1228 1091 3260
462222,5063 731 2230
462223,3501 625 7636
462224,3034 979 3449
462225,894 3142 5301
462226,5478 2059 4861
462227,2922 7222 3661
462228,3852 4748 2629
462229,354 7178 3176
462230,5857 235 4995
462231,925 2257 7669
462232,2926 3757 901
462233,7522 814 4707
462234,2155 300 1451
462235,1128 4831 6591
462236,2083 382 4021
462237,3680 4742 5189
462238,7450 5974 2280
462239,2995 312 2862
462240,747 6629 1920
462241,5025 2563 6824
462242,297 4393 5910
462243,5966 2053 2340
462244,4599 6786 5633
462245,3694 8001 2793
462246,5028 558 4869
462247,712 7381 2445
462248,2163 340 1749
462249,3729 4758 5662
462250,1242 2650 3691
462251,7688 4679 4168
462252,6076 3962 2180
462253,2397 1545 7024
462254,4574 7790 7932
462255,538 7901 1981
462256,656 4684 7628
462257,3072 1618 1618
462258,6162 3147 3917
462259,510 910 4685
462260,2828 6330 958
462261,7208 2596 7968
462262,3105 1483 745
462263,1617 6586 7771
462264,5867 3967 1422
462265,6562 5606 1922
462266,6693 2428 6524
462267,8078 5116 5385
462268,2076 4005 5114
462269,3751 6579 7938
462270,7803 3557 6629
462271,7744 5646 2195
462272,18 5527 3852
462273,797 4332 3766
462274,3969 4855 7129
462275,3461 6449 1693
462276,452 521 191
462277,2536 446 6916
462278,4443 5489 7195
462279,1093 2190 1911
462280,7075 2576 6347
462281,6639 2979 2461
462282,1819 2174 3823
462283,6034 3801 4560
462284,5038 2184 3022
462285,46 6656 5610
462286,6184 7057 2429
462287,2024 848 5318
462288,7585 1895 7365
462289,1390 5110 6699
462290,2194 114 5584
462291,5143 6023 1328
462292,3053 1222 3441
462293,6042 6545 4125
462294,2058 4282 3832
462295,2000 3041 1706
462296,5068 4503 5524
462297,7387 6234 3055
462298,6566 2861 352
462299,7414 4032 5830
462300,416 3030 3191
462301,189 1665 4
462302,4732 3955 7518
462303,97 6375 6066
462304,3676 3370 3129
462305,4784 7963 3973
462306,162 3913 1850
462307,3841 4409 7958
462308,7281 4394 695
462309,6224 5479 6196
462310,5820 3920 3574
462311,1853 4632 6718
462312,5229 3809 2440
462313,6458 1667 6920
462314,6815 5258 651
462315,3536 1179 456
462316,4476 5642 2971
462317,5123 996 3623
462318,4497 3442 6566
462319,113 6888 1257
462320,1487 4709 7239
462321,6646 5938 7027
462322,989 6916 8124
462323,1457 1512 3245
462324,3042 7575 6347
462325,7888 225 3726
462326,2684 1572 1717
462327,1841 5683 2703
462328,1077 1797 5877
462329,586 2471 1894
462330,6160 4341 5244
462331,3299 4888 3926
462332,5447 2519 1619
462333,309 1369 2991
462334,6545 1084 3603
462335,3907 2432 6146
462336,6011 6694 6819
462337,563 2595 6118
462338,7569 4118 581
462339,8137 773 5770
462340,3336 979 6227
462341,7504 2160 7992
462342,1374 4590 7392
462343,5262 4861 263
462344,4685 3587 2568
462345,4856 3589 6370
462346,3711 1816 6735
462347,7668 585 2887
462348,3 6107 2272
462349,5305 2110 200
462350,5214 3075 6507
462351,7830 2148 610
462352,3393 6772 7687
462353,4607 5635 6760
462354,7544 5921 6812
462355,5639 2964 4073
462356,5836 4648 5190
462357,6834 6891 7070
462358,5212 3130 1665
462359,851 1957 528
462360,1623 3837 7463
462361,5746 2697 3627
462362,7995 7216 7077
462363,6706 235 7833
462364,1817 1017 5884
462365,6080 3846 650
462366,7663 2830 3656
462367,3713 3383 1217
462368,1220 7415 4224
462369,5497 7964 2378
462370,4631 3962 1825
462371,5061 5757 7052
462372,2680 2109 4366
462373,6535 7349 7763
462374,6454 1982 1705
462375,561 5002 3046
462376,2632 399 4827
462377,7641 5543 3275
462378,1672 2351 1773
462379,5181 4399 1202
462380,3617 567 3955
462381,4287 7292 957
462382,1017 1243 8012
462383,6801 6627 7463
462384,4321 4788 1114
462385,3415 5191 1831
462386,4951 3885 8065
462387,6482 5457 6260
462388,7070 6559 7849
462389,4804 8126 8048
462390,7012 3911 5839
462391,5601 2037 4759
462392,6668 821 3668
462393,3448 4012 2023
462394,2565 1883 6291
462395,5154 7873 5826
462396,7728 4558 4675
462397,7396 2445 6834
462398,5616 1898 6875
462399,5281 337 6325
462400,4511 1933 6288
462401,6848 5311 8047
462402,6163 6324 2414
462403,5241 922 3953
462404,84 6986 954
462405,2827 4303 2916
462406,4291 2687 433
462407,4317 788 2386
462408,2906 2710 550
462409,299 3563 7143
462410,3447 4307 3924
462411,3550 3621 6873
462412,859 3028 4988
462413,450 1475 5757
462414,5731 6824 6300
462415,1228 4353 12
462416,4085 5979 3901
462417,5449 3484 4604
462418,2696 1312 850
462419,3774 6080 5469
462420,6419 1599 3678
462421,391 2548 1457
462422,8064 6977 6698
462423,5309 5702 6441
462424,6929 1121 4724
462425,1236 4583 913
462426,1109 2979 535
462427,1123 6684 6726
462428,30 2600 5654
462429,5242 4704 3909
462430,2663 3332 2397
462431,3943 2931 6999
462432,6598 2954 4638
462433,2627 6900 2215
462434,142 7810 5402
462435,912 5153 6933
462436,450 1767 4670
462437,2122 1295 7969
462438,6694 1736 2480
462439,899 7169 5367
462440,1527 2021 491
462441,1246 2475 1583
462442,4739 7521 6072
462443,206 940 530
462444,7154 7739 7566
462445,6065 1188 2603
462446,3770 4743 5227
462447,4483 3986 6292
462448,1622 3068 4788
462449,7906 5328 6786
462450,7727 3050 4071
462451,2857 6897 2021
462452,3032 3217 5376
462453,7104 1050 992
462454,4321 578 7136
462455,7427 6369 1570
462456,6889 3730 846
462457,1327 4765 2091
462458,8127 5804 3134
462459,858 6789 1985
462460,5758 1324 3627
462461,3444 7659 6784
462462,3875 5969 5910
462463,7139 6733 1554
462464,3404 8086 7389
462465,6310 3552 1162
462466,7908 7068 7928
462467,1727 4753 8081
462468,2826 2757 5356
462469,3745 2001 7673
462470,1769 5885 1700
462471,2066 406 70
462472,6758 7932 3063
462473,7376 5135 3481
462474,422 5509 595
462475,3733 2734 1407
462476,2555 4682 4468
462477,7880 7145 7479
462478,738 3605 4865
462479,584 1085 229
462480,4630 2117 7985
462481,550 1031 6870
462482,7026 7117 6030
462483,528 6622 3446
462484,5009 5208 4169
462485,3662 4342 3094
462486,6031 2065 5148
462487,6184 7467 7881
462488,4453 1582 1245
462489,644 4876 4875
462490,7752 5560 7137
462491,1585 4278 7431
462492,7244 7224 3731
462493,526 1363 3918
462494,448 1543 2607
462495,132 6510 6582
462496,510 3575 3072
462497,6671 6016 544
462498,2786 2556 134
462499,4599 4660 4245
462500,2774 451 7192
462501,6221 522 7600
462502,5635 7891 3920
462503,5722 6360 3184
462504,4348 483 5049
462505,5177 7412 2270
462506,6824 2858 3027
462507,1886 5245 221
462508,2979 2945 7884
462509,2870 4354 5654
462510,2935 2221 2474
462511,3726 1230 6379
462512,4020 6151 1012
462513,5971 4728 2908
462514,5649 7462 7514
462515,3399 5820 3735
462516,4400 7927 4196
462517,611 2501 2409
462518,3267 973 4858
462519,2609 1862 6727
462520,6716 3828 4638
462521,5545 7140 2689
462522,6416 2407 328
462523,5995 7022 1715
462524,1927 2575 6424
462525,4888 1119 4373
462526,2465 4197 1757
462527,5256 7470 1003
462528,7272 1195 7672
462529,4825 2260 6355
462530,7245 3434 4143
462531,917 2245 4531
462532,6563 2557 7305
462533,8130 2621 1081
462534,1903 7848 6145
462535,5551 252 331
462536,2575 7596 3720
462537,3638 7570 2668
462538,1710 1290 7099
462539,247 2107 221
462540,1792 7798 1178
462541,1761 3518 2763
462542,1426 5316 5036
462543,4927 3159 2941
462544,3904 4202 4746
462545,3702 2119 2788
462546,3116 1227 5462
462547,3183 8001 309
462548,4708 5079 2464
462549,8005 3443 55
462550,4633 4888 2502
462551,5191 5046 4264
462552,3865 4027 7567
462553,1497 5335 2006
462554,1005 438 7626
462555,2185 6517 2864
462556,1141 4993 2016
462557,2990 5942 6254
462558,271 7263 38
462559,399 1975 4314
462560,3983 3368 5747
462561,2610 747 3839
462562,8089 4416 6750
462563,7859 7158 4705
462564,1425 2394 7505
462565,720 1215 4254
462566,3573 140 947
462567,1937 5699 1410
462568,555 3146 4167
462569,4398 2091 1032
462570,7640 5860 426
462571,4091 1852 6619
462572,3448 1102 7140
462573,2484 5295 3119
462574,4483 5097 5391
462575,142 1373 5670
462576,5677 7373 5613
462577,5092 3463 210
462578,4690 7956 7249
462579,1415 3142 1888
462580,1465 8127 2340
462581,3274 1546 7771
462582,1683 2807 5575
462583,5288 2439 4295
462584,7508 1768 7797
462585,5644 5165 907
462586,4659 1050 4009
462587,5695 5511 617
462588,1614 3512 3364
462589,4751 8 2812
462590,3043 5989 7852
462591,2555 6809 7605
462592,4428 4837 3033
462593,6104 7458 3529
462594,4990 5462 1275
462595,4641 1038 4147
462596,7921 3535 5040
462597,4263 6230 3069
462598,7230 2233 6086
462599,5843 1952 1403
462600,7798 7191 7412
462601,1036 4321 226
462602,105 1666 406
462603,4210 7166 3973
462604,142 3689 252
462605,1242 4613 5393
462606,4948 1363 7339
462607,2622 4385 3268
462608,1367 7947 5112
462609,2416 7768 4141
462610,4495 3171 5073
462611,537 1394 1817
462612,2163 1702 1052
462613,5565 6036 7992
462614,4372 3581 1044
462615,5596 4648 4139
462616,4776 5149 6339
462617,1545 7646 2618
462618,2406 6882 4293
462619,2164 4784 5370
462620,3490 1040 2317
462621,3344 5344 6289
462622,7775 5649 5105
462623,3604 1485 8022
462624,1344 3157 3919
462625,6770 1075 5546
462626,7494 7824 4581
462627,5444 3894 4930
462628,3018 4371 6205
462629,6176 1538 7016
462630,4255 2871 4259
462631,426 312 2101
462632,5708 6432 5994
462633,523 2326 6164
462634,2725 7604 2443
462635,3084 1481 6871
462636,7533 6437 4754
462637,5117 2879 6254
462638,786 3510 7811
462639,1770 2273 5029
462640,5695 2860 3805
462641,907 4260 8043
462642,1674 7597 7337
462643,5884 2214 5292
462644,5305 6590 1685
462645,7747 6278 4518
462646,5430 6802 5357
462647,3631 1737 7804
462648,6409 1759 2719
462649,4149 4666 4779
462650,7825 7110 4992
462651,1537 4677 5505
462652,7061 5591 187
462653,6163 6432 4512
462654,5973 261 4653
462655,2196 6287 5919
462656,1545 4442 4932
462657,6483 6466 4942
462658,1144 1066 2787
462659,1362 8126 3954
462660,7502 4868 4832
462661,3412 7888 3512
462662,8045 4531 2322
462663,2255 4257 2771
462664,4550 8114 207
462665,2558 6748 2516
462666,6726 6162 6933
462667,463 3946 4481
462668,6808 4669 3449
462669,7994 5031 225
462670,7868 3832 7170
462671,2240 7835 5067
462672,7915 6548 3628
462673,3759 56 4333
462674,5016 900 401
462675,7438 5463 4919
462676,595 995 6042
462677,3841 7500 6468
462678,4139 1637 6963
462679,2394 4789 7103
462680,6230 2976 5922
462681,1966 6214 1453
462682,4442 4315 659
462683,5516 1840 159
462684,2713 2582 6342
462685,466 5672 6310
462686,4739 3766 3577
462687,5600 3273 7881
462688,4395 4140 7288
462689,2968 7080 4920
462690,6594 6754 376
462691,567 3058 6214
462692,7793 7665 3072
462693,7031 517 3838
462694,7747 159 2275
462695,1829 3109 4545
462696,3409 4356 693
462697,2104 7576 6039
462698,2254 4328 5353
462699,639 712 6273
462700,4195 2629 3641
462701,2335 3379 4493
462702,2349 7697 3029
462703,4542 2908 312
462704,6914 1640 1857
462705,7464 5299 2817
462706,601 5850 3629
462707,4005 4757 1669
462708,7541 505 3272
462709,4505 1328 1041
462710,3259 7914 5559
462711,2798 2484 3997
462712,1364 5481 6212
462713,2681 3386 7079
462714,7118 5531 3907
462715,1823 3964 500
462716,5150 4725 1368
462717,6066 3484 7034
462718,2317 5950 2292
462719,519 5472 3483
462720,6039 5773 5389
462721,6456 6570 2748
462722,79 1735 7723
462723,8104 3588 4738
462724,2052 7326 5813
462725,1159 251 8032
462726,4220 3541 3559
462727,5298 1022 4946
462728,1809 1144 1035
462729,6210 7149 7009
462730,1579 5043 358
462731,5237 6363 2276
462732,5512 1752 4151
462733,2740 3470 3460
462734,3450 881 7250
462735,394 3793 4105
462736,852 2314 5422
462737,7929 3497 4043
462738,7372 3521 253
462739,2086 2603 8135
462740,4231 2276 4556
462741,7008 3645 7417
462742,3338 6405 1928
462743,1190 7600 7585
462744,6407 4147 2919
462745,3583 3854 2588
462746,7991 4524 1292
462747,7385 7077 3497
462748,5796 1258 8040
462749,7009 4342 916
462750,2755 3214 6462
462751,6304 6117 3006
462752,5446 6247 1631
462753,5893 2844 3665
462754,1266 6086 5139
462755,5092 6497 5522
462756,1969 2191 740
462757,3715 1202 3415
462758,1715 2740 6734
462759,3793 6650 1869
462760,7395 1529 7642
462761,1677 2842 4498
462762,7845 4889 3157
462763,4363 5585 6974
462764,3285 554 2768
462765,4395 4278 6577
462766,3179 3364 3624
462767,6772 7800 7137
462768,7313 5599 2265
462769,7816 1945 7294
462770,6238 5165 6476
462771,4525 8113 909
462772,399 7099 217
462773,1704 2273 1107
462774,4382 5251 3105
462775,1926 6733 6097
462776,3867 3550 2465
462777,5115 4179 2245
462778,2575 5589 6924
462779,4141 7427 384
462780,7224 3239 7684
462781,4920 6419 2536
462782,516 5006 5679
462783,3747 7292 3401
462784,7676 4065 2498
462785,4742 4548 7613
462786,3215 7304 1028
462787,8055 6914 4787
462788,1803 6698 397
462789,6220 6738 2897
462790,886 3949 812
462791,6129 6277 7430
462792,4562 1515 3230
462793,1291 6407 6625
462794,533 1263 3170
462795,7493 3723 6183
462796,6076 4498 2387
462797,2656 4149 1475
462798,1593 4136 6416
462799,2271 2605 1468
462800,3193 733 3748
462801,3665 7762 1537
462802,4403 1253 2744
462803,7064 1113 2323
462804,4714 2514 1597
462805,4054 1134 1008
462806,7690 6375 3117
462807,1803 3384 1592
462808,6223 5074 5368
462809,3826 5958 1543
462810,5028 3575 427
462811,1099 7049 3593
462812,3637 7022 5874
462813,6616 2953 3085
462814,292 4398 2285
462815,1 5028 2077
462816,1344 7293 2411
462817,7833 6408 3514
462818,5181 6441 1701
462819,3502 3821 3113
462820,556 3873 2601
462821,97 7770 2483
462822,6597 5931 3379
462823,4959 5625 4914
462824,6208 4831 431
462825,7708 4486 8072
462826,1751 5155 5261
462827,5282 4151 6494
462828,6102 4962 2404
462829,4020 7140 2757
462830,1129 4804 617
462831,3006 2309 6557
462832,7622 1874 3155
462833,5872 2462 6777
462834,420 92 772
462835,4486 305 3313
462836,4701 6505 134
462837,3191 1028 2191
462838,5757 604 3990
462839,7274 3166 1595
462840,6315 7279 8017
462841,7655 3360 3598
462842,111 120 324
462843,7255 2129 6520
462844,3722 7021 7650
462845,7564 5401 3464
462846,7575 5102 4459
462847,884 4521 7727
462848,4688 7846 3576
462849,652 2929 5270
462850,2545 4781 1111
462851,5608 1194 2525
462852,4411 4504 7587
462853,8072 531 5840
462854,931 4706 673
462855,4745 6268 1110
462856,7308 7718 976
462857,4202 5316 4760
462858,4011 1835 1512
462859,6303 6553 1080
462860,3386 2206 3957
462861,7570 3692 1999
462862,448 2946 8104
462863,2264 4629 2993
462864,6153 568 6974
462865,1607 7072 4218
462866,2677 2885 4713
462867,8102 4358 4695
462868,3151 1518 5349
462869,7509 3232 6992
462870,774 1195 30
462871,4869 1566 1895
462872,7808 7596 3507
462873,6640 6780 511
462874,6527 6115 2284
462875,6923 2590 6814
462876,108 2726 6846
462877,4480 1280 843
462878,7578 3896 1406
462879,2503 3983 2312
462880,4527 3727 7136
462881,5861 7076 2576
462882,5389 6835 991
462883,5903 5287 7457
462884,7236 7054 8111
462885,6823 4490 7298
462886,6829 110 3690
462887,3419 6685 375
462888,6008 2635 2203
462889,4299 50 2274
462890,2612 283 1700
462891,155 8057 1263
462892,30 7543 6485
462893,2251 6580 632
462894,7688 1546 4370
462895,6897 3471 1758
462896,6390 4532 6459
462897,4225 193 3410
462898,7444 5313 6855
462899,3963 4640 3252
462900,4199 4264 2910
462901,6074 4040 6035
462902,2120 5226 7831
462903,7937 7403 6677
462904,3915 1709 4467
462905,7567 5419 2886
462906,427 2417 5201
462907,5687 5260 7128
462908,6755 735 3690
462909,1455 1949 6587
462910,951 5515 5296
462911,4096 6472 4257
462912,7201 3982 2233
462913,2010 700 4989
462914,6065 7256 7788
462915,5158 3100 1314
462916,8 5518 6848
462917,2865 3907 1447
462918,565 2001 1161
462919,6885 4134 221
462920,5742 7942 1183
462921,6707 2941 7635
462922,482 7559 7190
462923,4602 7507 3383
462924,3696 8070 6846
462925,7016 3054 1142
462926,5906 3303 5546
462927,5085 237 6601
462928,1815 6193 553
462929,3754 2350 6248
462930,1290 8129 6543
462931,5931 113 5615
462932,1471 4246 251
462933,2045 571 5122
462934,2477 459 5232
462935,4004 7384 3668
462936,2007 3070 1565
462937,3234 832 3942
462938,1920 6943 5786
462939,5756 6581 5536
462940,842 2140 175
462941,4535 4970 4718
462942,5831 663 6034
462943,161 7811 1291
462944,7291 3756 5523
462945,2820 7824 2252
462946,3103 331 472
462947,3343 7043 4523
462948,5695 545 1847
462949,4973 5092 6359
462950,6739 2076 1152
462951,2409 581 7021
462952,1813 6211 5018
462953,5525 3584 4828
462954,1106 6587 7014
462955,6455 7564 4196
462956,135 3312 5835
462957,638 1548 2157
462958,8113 5020 3748
462959,5392 2737 5481
462960,5557 1811 373
462961,3435 7948 1648
462962,8051 5495 4261
462963,5182 4651 5331
462964,5615 6151 4937
462965,1722 3701 1165
462966,6132 1235 6479
462967,7138 3044 7096
462968,6503 3447 3760
462969,5412 1874 5776
462970,2194 6517 955
462971,5738 1489 5476
462972,1799 3642 4732
462973,7912 7379 2895
462974,524 3325 5383
462975,6884 426 7076
462976,2544 2729 1034
462977,421 2646 5136
462978,5356 3882 1167
462979,4926 5986 325
462980,4626 1236 5292
462981,3946 6453 4829
462982,8058 5637 3323
462983,4963 6039 3352
462984,308 2091 621
462985,5220 4432 4759
462986,1173 4057 6754
462987,3035 7643 1255
462988,180 1469 4946
462989,1071 6327 1567
462990,3538 7404 4090
462991,2410 7767 5198
462992,1720 6528 3256
462993,3425 1967 1109
462994,274 3451 60
462995,7144 4781 2624
462996,3059 4328 2738
462997,1421 7269 3557
462998,2866 4164 658
462999,8074 2961 268
463000,5253 5173 2778
463001,3768 7432 2349
463002,2318 1370 1681
463003,2868 5092 6722
463004,1533 1193 4639
463005,6574 5513 5284
463006,3751 64 6634
463007,2673 174 6114
463008,7375 1822 4050
463009,7753 1038 306
463010,4098 8104 6973
463011,3844 5681 4406
463012,6750 4408 3798
463013,687 1834 1292
463014,357 7293 2925
463015,3059 7923 1467
463016,1704 7886 652
463017,2637 3370 1760
463018,5815 627 6766
463019,1770 6343 785
463020,5184 1613 3203
463021,78 7608 1337
463022,1966 2444 4059
463023,5207 6213 1380
463024,3065 1896 3433
463025,35 476 2957
463026,4245 3613 270
463027,1623 1489 5863
463028,4191 1019 5630
463029,6735 201 4942
463030,6923 7483 5375
463031,3132 1758 2842
463032,6432 3760 3737
463033,3494 5478 4903
463034,662 4809 4572
463035,4517 6731 3607
463036,4479 7794 6812
463037,1359 7975 5631
463038,8043 5219 7293
463039,1009 2851 7605
463040,489 4110 4714
463041,2219 420 4260
463042,1612 4691 5496
463043,3929 3322 7942
463044,5792 4500 5035
463045,4757 4538 308
463046,6253 2671 585
463047,4329 1225 7629
463048,5582 6320 3066
463049,1313 6539 3283
463050,4835 4408 6585
463051,5790 1240 5174
463052,2406 3696 2994
463053,3462 6467 5499
463054,5220 6959 853
463055,6582 332 464
463056,84 86 2996
463057,1898 4429 5996
463058,2008 10 3305
463059,6571 5292 380
463060,7178 3190 1261
463061,1847 3661 332
463062,7062 6401 3103
463063,7623 3606 4603
463064,2861 1827 5105
463065,114 6389 808
463066,7079 665 2732
463067,3067 7321 23
463068,6535 1052 5943
463069,536 1528 1604
463070,2393 5619 5709
463071,5987 3618 5539
463072,1604 1758 2007
463073,5231 441 6741
463074,489 2318 5296
463075,7971 3863 7767
463076,1404 7540 1079
463077,5152 5179 133
463078,2295 2862 4073
463079,2023 1275 7873
463080,175 5619 751
463081,4799 2631 7638
463082,1400 4380 4250
463083,913 1226 2076
463084,908 2951 5322
463085,482 7048 7059
463086,2480 6384 6792
463087,7361 809 1960
463088,647 1610 4930
463089,3181 7592 2854
463090,1736 6882 2732
463091,3232 7055 3424
463092,4273 4998 2937
463093,4264 7143 2395
463094,2024 6870 4566
463095,6629 7084 2336
463096,6802 6665 4899
463097,1445 2459 7963
463098,6293 4522 7665
463099,7959 4794 1066
463100,5744 4873 3364
463101,1209 5383 4772
463102,3428 6635 5847
463103,2738 4870 2885
463104,5412 7759 7563
463105,3117 2632 6734
463106,3613 7974 5355
463107,5799 3076 8049
463108,5370 1545 7024
463109,6195 6390 5106
463110,6099 1267 3624
463111,4344 460 0
463112,3880 3720 1400
463113,8123 820 4948
463114,7359 6439 4804
463115,1300 4811 4319
463116,7337 7065 7614
463117,2014 3381 5918
463118,5670 3950 2973
463119,2900 306 3339
463120,3138 7920 1252
463121,1642 6195 4700
463122,5877 4510 996
463123,7422 3272 6000
463124,1531 3167 5697
463125,6634 360 2188
463126,8119 5241 3870
463127,460 7091 7275
463128,1244 8018 5921
463129,2603 1260 3256
463130,2538 1181 4783
463131,5995 6266 2075
463132,6697 2758 352
463133,7583 7128 3935
463134,347 5443 4958
463135,1506 5315 4608
463136,1767 2697 2135
463137,4970 7834 1924
463138,6470 5336 4393
463139,5861 1827 8081
463140,7928 6448 3991
